DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,CUFEETNG,AGEHHMEM1,AGEHHMEMY
1,3,2,1231,3281,13459,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,1,1,0,0,8,55,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,365,55,55
2,2,2,1663,1123,13051,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,1,0,1,1,13,17.5,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,227,26,1
3,0,2,5221,1286,19464,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,1,1,0,0,10,62.5,3414,999,0,19846,16657,0,0,29908,0,20784,49394,682,63,62
4,0,3,5261,667,28635,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,1,0,0,1,6,18.5,9833,0,7807,5272,0,31876,13724,46831,4428,4332,3707,283,43,3
5,0,2,4392,1238,28658,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,1,0,0,0,23,35,5121,855,0,12335,15836,23262,0,46348,0,0,70589,686,39,3
6,0,2,5162,1236,13212,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,1,0,0,0,12,16.875,4030,673,0,2914,4753,0,0,37412,0,45711,92154,1340,40,1
7,4,2,392,3759,7194,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,1,1,0,0,24,59.5,3198,0,0,6262,0,6971,0,11314,803,1507,7247,158,60,59
8,0,2,3275,2086,19878,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,1,0,0,0,17,29.75,2576,0,0,4125,7840,19694,2029,34136,9230,5508,2260,27,37,8
9,4,2,540,3278,20718,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,1,0,0,0,23,27.5,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,305,50,8
10,0,3,4409,1718,7688,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,1,0,0,0,23,39,2054,343,0,2112,5495,4483,6841,7301,5417,4608,8620,17,39,43
11,0,5,3277,1511,11415,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,1,0,0,0,7,18.6666666666667,2947,492,0,2391,6380,11139,7379,11659,191,5578,885,146,25,1
12,0,2,5267,1145,12686,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,1,1,0,0,17,29.4,2977,497,0,5395,11114,0,0,26776,17895,67997,102106,1827,36,5
13,4,5,1306,2130,6438,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,0,0,0,1,3,61,0,0,0,1923,9248,3477,2687,4631,6861,743,2983,191,61,48
14,4,2,552,3425,27890,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,1,0,0,0,12,45.3333333333333,6933,634,0,11523,30659,10136,2277,40566,5778,8285,2972,78,56,24
15,2,3,1097,853,7424,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,0,1,2,28,2,1,1,5,1,0,0,0,23,20,0,0,0,2414,0,11460,0,11457,2909,16171,1058,175,28,11
16,0,2,3429,2137,23908,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0,0,0,1,1,49,2,1,0,2,1,0,0,0,18,52.5,5303,886,0,8218,23129,11557,12927,25743,603,5095,2838,360,49,56
17,0,4,5356,1055,4327,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429,0,0,0,1,59,1,0,0,1,0,1,0,1,9,59,2500,0,0,4502,2026,0,0,8236,3729,18721,67932,878,59,21
18,2,2,1078,701,6288,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883,0,0,0,1,54,2,1,0,2,1,0,0,0,24,55.5,0,484,0,2837,0,0,747,17871,22324,43009,19662,826,54,57
19,2,3,2040,99,1951,4,5,1,1,2060,0,553,400,1107,1107,953,0,0,0,400,0,553,1107,0,0,2060,0,0,0,400,0,553,0,1107,0,0,1,2,82,1,0,0,1,0,1,0,0,10,82,1984,331,0,847,0,0,0,5810,0,20638,25461,448,82,55
20,0,2,5590,1275,17256,2,2,2,1,1950,975,0,250,725,725,1225,0,975,0,250,0,0,725,0,340,1950,0,975,0,250,0,0,0,725,0,0,1,1,27,1,1,0,4,0,0,1,1,4,15,5117,0,0,4914,7205,21417,0,25342,6391,0,45537,505,27,5
21,0,2,5402,1314,13441,4,8,3,1,5334,2100,0,400,2834,4409,925,1575,525,0,400,0,0,2834,0,4934,925,1575,525,0,400,0,0,2834,0,1,0,1,2,79,1,1,0,2,1,1,0,0,24,73,0,999,0,12010,12706,0,0,21145,19667,37889,101733,1548,79,67
22,2,2,2067,1808,2254,2,2,4,1,1360,0,0,0,1360,1020,340,0,0,0,0,0,0,1020,340,0,1360,0,0,0,0,0,0,0,1360,0,0,1,2,48,1,0,1,2,0,1,1,1,4,67,0,0,0,2293,0,0,844,4554,5912,15008,15507,354,48,86
23,2,2,2148,227,6971,4,3,1,1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,1967,0,1967,0,0,0,0,0,0,0,1967,0,0,0,1,2,49,2,1,0,7,1,1,0,0,24,29.5714285714286,0,0,0,2947,621,0,0,20217,18784,31692,24024,724,49,6
24,0,2,4597,1143,22210,1,4,1,1,5440,2320,0,400,2720,1088,4352,0,2320,0,400,0,0,1088,1632,1805,4466,0,2320,0,400,0,0,974,1746,0,0,1,2,84,1,1,0,2,0,1,0,0,18,84,5043,842,7310,13553,8154,14164,0,39910,5424,0,47158,511,84,84
25,0,2,5545,1032,18021,3,2,3,1,5164,966,1023,400,2775,3499,1665,725,242,0,400,0,1023,2775,0,4764,2389,0,966,0,400,0,1023,2775,0,0,0,1,2,37,2,1,0,4,1,0,0,0,24,20.25,0,630,0,12408,12365,0,0,36715,23159,44536,103222,1661,37,2
26,0,2,3274,2087,11962,1,5,3,1,1302,0,0,400,902,902,400,0,0,0,400,0,0,902,0,902,400,0,0,0,400,0,0,902,0,0,0,1,2,61,0,0,0,4,1,0,0,0,14,36.5,3545,592,0,2564,17092,0,0,21158,0,25722,25982,502,61,4
27,2,2,2592,1495,12024,4,7,1,1,2460,0,0,400,2060,2060,400,0,0,0,400,0,0,2060,0,2060,400,0,0,0,400,0,0,2060,0,0,0,0,2,51,2,1,0,2,1,0,0,0,18,50.5,0,527,0,7896,7073,0,0,26055,9434,18175,19519,458,51,50
28,0,1,7266,840,12713,3,6,3,1,1750,0,0,0,1750,1167,583,0,0,0,0,0,0,1167,583,584,1166,0,0,0,0,0,0,584,1166,0,0,1,1,68,1,0,0,1,0,1,0,0,6,68,5247,0,5999,13844,2386,5603,0,21544,5761,0,97551,1004,68,19
29,0,2,6298,862,18488,9,12,3,1,3596,1598,0,400,1598,3196,400,1598,0,0,400,0,0,1598,0,3196,400,1598,0,0,400,0,0,1598,0,0,0,1,1,25,1,1,0,6,1,0,0,0,11,11.6666666666667,7547,690,0,3353,8189,20111,0,31428,0,0,41675,405,25,1
30,0,2,4504,988,6030,4,7,1,1,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,0,1280,0,0,0,0,0,0,0,1280,0,0,1,1,36,1,1,1,6,0,0,0,1,8,19.3333333333333,0,0,0,1413,0,0,0,19161,6776,27765,37592,701,36,4
31,0,2,6319,949,7558,2,4,2,1,2060,754,0,250,1056,1810,250,754,0,0,250,0,0,1056,0,1810,1004,0,754,0,250,0,0,1056,0,0,0,1,1,60,1,0,0,1,0,1,0,0,8,60,2293,383,0,4199,4337,3534,6626,7092,2896,7037,358,157,60,55
32,0,5,5153,1305,3997,1,7,3,1,1058,0,0,0,1058,1058,0,0,0,0,0,0,0,1058,0,529,1058,0,0,0,0,0,0,0,1058,0,0,0,1,44,2,0,0,3,1,0,1,0,4,24.6666666666667,0,0,0,1187,2122,3235,3219,3875,3735,15963,8761,152,44,14
33,0,2,7818,671,8591,2,11,4,1,6138,2046,0,400,3692,5738,400,2046,0,0,400,0,0,3692,0,5738,400,2046,0,0,400,0,0,3692,0,0,0,0,1,59,1,1,0,2,1,1,0,0,17,59,0,694,4748,1772,5179,0,0,22363,11668,0,26892,375,59,59
34,0,2,5317,1179,26737,3,3,3,1,5516,1278,1080,400,2758,2758,2758,0,1278,0,400,0,1080,2758,0,1279,5516,0,1278,0,400,0,1080,0,2758,0,0,1,1,51,2,1,0,4,1,0,0,0,18,34.75,4083,1195,20739,11086,4857,0,4118,71166,4497,917,3407,173,51,16
35,0,2,5440,944,10518,1,4,3,1,2460,0,459,400,1601,1601,859,0,0,0,400,0,459,1601,0,0,2460,0,0,0,400,0,459,0,1601,0,0,0,1,37,2,1,0,4,1,0,0,0,24,21,0,606,0,6180,0,0,2144,27563,9070,33409,60215,998,37,5
36,2,2,1369,271,6423,4,1,2,1,1082,0,0,0,1082,1082,0,0,0,0,0,0,0,1082,0,0,1082,0,0,0,0,0,0,0,1082,0,0,0,2,41,2,0,0,3,1,0,0,0,24,20,0,0,0,5274,0,0,0,16641,14040,22987,14320,499,41,8
37,3,2,1859,3018,24102,1,6,1,0,2500,0,0,400,2100,2100,400,0,0,0,400,0,0,2100,0,2100,400,0,0,0,400,0,0,2100,0,1,0,0,2,41,2,1,0,4,1,0,0,0,14,25.25,3134,0,3583,4857,26916,13679,3213,33571,8450,17075,3963,169,41,11
38,0,5,7129,511,15017,3,12,1,0,1460,0,0,0,1460,1460,0,0,0,0,0,0,0,1460,0,487,1460,0,0,0,0,0,0,0,1460,0,0,0,1,31,2,0,0,2,1,0,0,0,14,17.5,4609,770,0,3927,1335,10046,15496,20434,6305,12892,22,59,31,4
39,2,2,1256,1632,9455,4,4,1,1,1250,0,0,0,1250,1250,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0,0,0,1250,0,0,0,0,2,44,2,1,0,4,1,0,0,0,13,28,0,0,0,1277,11094,0,0,19889,18880,31230,21714,698,44,10
40,2,2,1706,1416,6141,4,6,2,1,2352,0,0,400,1952,1115,1237,0,0,0,400,0,0,1115,837,0,2352,0,0,0,400,0,0,0,1952,0,0,0,1,52,2,1,0,2,1,0,0,0,23,52,0,0,3220,3872,0,0,0,17081,12611,20351,14887,465,52,52
