DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUEL,BTUNG,BTU,AGEHHMEM1,AGEHHMEMY
1,3,2,1231,3281,13459,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,1,1,0,0,8,55,45922,37559,83481,55,55
2,2,2,1663,1123,13051,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,1,0,1,1,13,17.5,44529,23320,67849,26,1
3,0,2,5221,1286,19464,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,1,1,0,0,10,62.5,66411,70178,136589,63,62
4,0,3,5261,667,28635,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,1,0,0,1,6,18.5,97703,93803.69373,191506.6937,43,3
5,0,2,4392,1238,28658,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,1,0,0,0,23,35,97781,70589,168370,39,3
6,0,2,5162,1236,13212,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,1,0,0,0,12,16.875,45079,137865,182944,40,1
7,4,2,392,3759,7194,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,1,1,0,0,24,59.5,24547,33028.56026,57575.56026,60,59
8,0,2,3275,2086,19878,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,1,0,0,0,17,29.75,67824,62348.51772,130172.5177,37,8
9,4,2,540,3278,20718,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,1,0,0,0,23,27.5,70690,31411,102101,50,8
10,0,3,4409,1718,7688,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,1,0,0,0,23,39,26232,54213.82602,80445.82602,39,1
11,0,5,3277,1511,11415,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,1,0,0,0,7,18.66666667,38948,29154.12312,68102.12312,25,1
12,0,2,5267,1145,12686,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,1,1,0,0,17,29.4,43285,187998,231283,36,5
13,4,5,1306,2130,6438,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,0,0,0,1,3,61,21966,11351.53401,33317.53401,61,36
14,4,2,552,3425,27890,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,1,0,0,0,12,45.33333333,95161,32833.85104,127994.851,56,24
15,2,3,1097,853,7424,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,0,1,2,28,2,1,1,5,1,0,0,0,23,20,25331,34344.58648,59675.58648,28,11
16,0,2,3429,2137,23908,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0,0,0,1,1,49,2,1,0,2,1,0,0,0,18,52.5,81574,45946.73059,127520.7306,49,56
17,0,4,5356,1055,4327,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429,0,0,0,1,59,1,0,0,1,0,1,0,1,9,59,14764,90382,105146,59,4
18,2,2,1078,701,6288,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883,0,0,0,1,54,2,1,0,2,1,0,0,0,24,55.5,21455,84995,106450,54,57
19,2,3,2040,99,1951,4,5,1,1,2060,0,553,400,1107,1107,953,0,0,0,400,0,553,1107,0,0,2060,0,0,0,400,0,553,0,1107,0,0,1,2,82,1,0,0,1,0,1,0,0,10,82,6657,46099,52756,82,8
20,0,2,5590,1275,17256,2,2,2,1,1950,975,0,250,725,725,1225,0,975,0,250,0,0,725,0,340,1950,0,975,0,250,0,0,0,725,0,0,1,1,27,1,1,0,4,0,0,1,1,4,15,58878,51928,110806,27,5
21,0,2,5402,1314,13441,4,8,3,1,5334,2100,0,400,2834,4409,925,1575,525,0,400,0,0,2834,0,4934,925,1575,525,0,400,0,0,2834,0,1,0,1,2,79,1,1,0,2,1,1,0,0,24,73,45861,159289,205150,79,67
22,2,2,2067,1808,2254,2,2,4,1,1360,0,0,0,1360,1020,340,0,0,0,0,0,0,1020,340,0,1360,0,0,0,0,0,0,0,1360,0,0,1,2,48,1,0,1,2,0,1,1,1,4,67,7691,36427,44118,48,86
23,2,2,2148,227,6971,4,3,1,1,1967,0,0,0,1967,1967,0,0,0,0,0,0,0,1967,0,1967,0,0,0,0,0,0,0,1967,0,0,0,1,2,49,2,1,0,7,1,1,0,0,24,29.57142857,23785,74500,98285,49,6
24,0,2,4597,1143,22210,1,4,1,1,5440,2320,0,400,2720,1088,4352,0,2320,0,400,0,0,1088,1632,1805,4466,0,2320,0,400,0,0,974,1746,0,0,1,2,84,1,1,0,2,0,1,0,0,18,84,75781,52582,128363,84,84
25,0,2,5545,1032,18021,3,2,3,1,5164,966,1023,400,2775,3499,1665,725,242,0,400,0,1023,2775,0,4764,2389,0,966,0,400,0,1023,2775,0,0,0,1,2,37,2,1,0,4,1,0,0,0,24,20.25,61488,170917,232405,37,2
26,0,2,3274,2087,11962,1,5,3,1,1302,0,0,400,902,902,400,0,0,0,400,0,0,902,0,902,400,0,0,0,400,0,0,902,0,0,0,1,2,61,0,0,0,4,1,0,0,0,14,36.5,40814,51704,92518,61,4
27,2,2,2592,1495,12024,4,7,1,1,2460,0,0,400,2060,2060,400,0,0,0,400,0,0,2060,0,2060,400,0,0,0,400,0,0,2060,0,0,0,0,2,51,2,1,0,2,1,0,0,0,18,50.5,41024,47128,88152,51,50
28,0,1,7266,840,12713,3,6,3,1,1750,0,0,0,1750,1167,583,0,0,0,0,0,0,1167,583,584,1166,0,0,0,0,0,0,584,1166,0,0,1,1,68,1,0,0,1,0,1,0,0,6,68,43377,103312,146689,68,17
29,0,2,6298,862,18488,9,12,3,1,3596,1598,0,400,1598,3196,400,1598,0,0,400,0,0,1598,0,3196,400,1598,0,0,400,0,0,1598,0,0,0,1,1,25,1,1,0,6,1,0,0,0,11,11.66666667,63081,41675,104756,25,1
30,0,2,4504,988,6030,4,7,1,1,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,0,1280,0,0,0,0,0,0,0,1280,0,0,1,1,36,1,1,1,6,0,0,0,1,8,19.33333333,20574,72133,92707,36,4
31,0,2,6319,949,7558,2,4,2,1,2060,754,0,250,1056,1810,250,754,0,0,250,0,0,1056,0,1810,1004,0,754,0,250,0,0,1056,0,0,0,1,1,60,1,0,0,1,0,1,0,0,8,60,25788,83343.24441,109131.2444,60,53
32,0,5,5153,1305,3997,1,7,3,1,1058,0,0,0,1058,1058,0,0,0,0,0,0,0,1058,0,529,1058,0,0,0,0,0,0,0,1058,0,0,0,1,44,2,0,0,3,1,0,1,0,4,24.66666667,13638,54493.93884,68131.93884,44,14
33,0,2,7818,671,8591,2,11,4,1,6138,2046,0,400,3692,5738,400,2046,0,0,400,0,0,3692,0,5738,400,2046,0,0,400,0,0,3692,0,0,0,0,1,59,1,1,0,2,1,1,0,0,17,59,29314,38560,67874,59,59
34,0,2,5317,1179,26737,3,3,3,1,5516,1278,1080,400,2758,2758,2758,0,1278,0,400,0,1080,2758,0,1279,5516,0,1278,0,400,0,1080,0,2758,0,0,1,1,51,2,1,0,4,1,0,0,0,18,34.75,91227,120024.5314,211251.5314,51,16
35,0,2,5440,944,10518,1,4,3,1,2460,0,459,400,1601,1601,859,0,0,0,400,0,459,1601,0,0,2460,0,0,0,400,0,459,0,1601,0,0,0,1,37,2,1,0,4,1,0,0,0,24,21,35887,102694,138581,37,5
36,2,2,1369,271,6423,4,1,2,1,1082,0,0,0,1082,1082,0,0,0,0,0,0,0,1082,0,0,1082,0,0,0,0,0,0,0,1082,0,0,0,2,41,2,0,0,3,1,0,0,0,24,20,21915,51347,73262,41,8
37,3,2,1859,3018,24102,1,6,1,0,2500,0,0,400,2100,2100,400,0,0,0,400,0,0,2100,0,2100,400,0,0,0,400,0,0,2100,0,1,0,0,2,41,2,1,0,4,1,0,0,0,14,25.25,82236,55253.04257,137489.0426,41,11
38,0,5,7129,511,15017,3,12,1,0,1460,0,0,0,1460,1460,0,0,0,0,0,0,0,1460,0,487,1460,0,0,0,0,0,0,0,1460,0,0,0,1,31,2,0,0,2,1,0,0,0,14,17.5,51238,63820.64148,115058.6415,31,4
39,2,2,1256,1632,9455,4,4,1,1,1250,0,0,0,1250,1250,0,0,0,0,0,0,0,1250,0,1250,0,0,0,0,0,0,0,1250,0,0,0,0,2,44,2,1,0,4,1,0,0,0,13,28,32260,71824,104084,44,10
40,2,2,1706,1416,6141,4,6,2,1,2352,0,0,400,1952,1115,1237,0,0,0,400,0,0,1115,837,0,2352,0,0,0,400,0,0,0,1952,0,0,0,1,52,2,1,0,2,1,0,0,0,23,52,20953,47849,68802,52,52
41,0,2,3011,2172,20702,1,9,4,0,7757,0,2484,0,5273,5273,2484,0,0,0,0,0,2484,5273,0,7757,2484,0,0,0,0,0,2484,5273,0,0,0,1,2,53,1,0,0,2,0,1,0,0,17,33.5,70635,70237.58334,140872.5833,53,14
42,2,2,2120,1387,6593,4,5,1,1,1397,0,0,0,1397,279,1118,0,0,0,0,0,0,279,1118,838,1397,0,0,0,0,0,0,0,1397,0,0,0,2,26,0,0,0,2,1,0,0,0,6,24.5,22495,25313,47808,26,23
43,0,2,5788,900,11846,2,4,2,0,5208,1736,1736,0,1736,2170,3038,434,1302,0,0,0,1736,1736,0,744,5208,0,1736,0,0,0,1736,0,1736,1,0,0,1,47,2,1,0,4,1,0,0,0,16,30.75,40419,112597.8821,153016.8821,47,13
44,0,5,5760,923,3308,1,1,1,1,637,0,0,0,637,637,0,0,0,0,0,0,0,637,0,0,637,0,0,0,0,0,0,0,637,0,0,1,2,79,1,0,0,1,0,1,0,0,4,79,11287,6689,17976,79,2
45,0,3,5658,1139,14408,6,1,1,1,5440,1360,0,0,4080,4760,680,680,680,0,0,0,0,4080,0,5440,1360,0,1360,0,0,0,0,4080,0,0,0,1,2,63,1,0,1,5,0,1,0,0,8,32.8,49160,106608.5585,155768.5585,63,20
46,2,5,1093,865,11649,4,5,2,1,830,0,0,0,830,623,208,0,0,0,0,0,0,623,208,0,830,0,0,0,0,0,0,0,830,0,0,0,1,58,2,0,0,1,1,0,0,0,7,58,39744,7546.76411,47290.76411,58,12
47,0,2,6202,721,5869,2,1,1,1,4045,945,945,0,2155,2155,1890,0,945,0,0,0,945,2155,0,1156,4045,0,945,0,0,0,945,0,2155,0,0,0,2,53,2,1,0,2,1,0,0,0,23,49.5,20025,8952,28977,53,46
48,1,5,4878,1283,4410,1,1,1,1,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,1216,1216,0,0,0,0,0,0,0,1216,0,0,0,2,58,2,0,1,1,1,0,0,0,23,58,15047,73577,88624,58,46
49,0,4,4338,1317,8117,1,9,1,1,955,0,0,0,955,955,0,0,0,0,0,0,0,955,0,955,0,0,0,0,0,0,0,955,0,0,0,1,2,22,0,0,0,2,0,0,0,0,4,22,27695,34659.49184,62354.49184,22,22
