DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,BTUEL,CUFEETNG,BTUNG,GALLONFO,BTUFO,GALLONLP,BTULP,GALLONKR,BTUKER,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUWOOD,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
1,3,2,1231,3281,13459,45922,365,37559,999999,9999999,999999,9999999,999999,9999999,0,376,3265,4222,29630,0,0,12070,9481,18266,9812,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0,0,0,1,1,55,2,0,0,2,55,99,99,99,99,99,99,99,99,99,99,99,55,1,1,0,0,8
2,2,2,1663,1123,13051,44529,227,23320,999999,9999999,999999,9999999,999999,9999999,4261,712,0,4092,10040,0,1356,29041,3780,13082,6458,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0,0,0,1,1,26,1,1,0,4,26,36,7,99,99,99,99,99,99,99,99,99,1,1,0,1,1,13
3,0,2,5221,1286,19464,66411,682,70178,999999,9999999,999999,9999999,999999,9999999,3414,999,0,19846,16657,0,0,29908,0,20784,49394,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0,0,0,1,1,63,1,1,0,2,63,99,99,99,99,99,99,99,99,99,99,99,62,1,1,0,0,10
4,0,3,5261,667,28635,97703,999999,9999999,999999,9999999,999999,9999999,999999,9999999,9833,0,7807,5272,0,31876,13724,46831,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899,0,0,0,2,43,2,1,1,8,43,34,19,15,13,11,10,99,99,99,99,99,3,1,0,0,1,6
5,0,2,4392,1238,28658,97781,686,70589,999999,9999999,999999,9999999,999999,9999999,5121,855,0,12335,15836,23262,0,46348,0,0,70589,9999999,9999999,9999999,9999999,9999999,9999999,15000,9,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0,0,0,0,1,39,2,1,0,5,39,85,39,9,99,99,99,99,99,99,99,99,3,1,0,0,0,23
6,0,2,5162,1236,13212,45079,1340,137865,999999,9999999,999999,9999999,999999,9999999,4030,673,0,2914,4753,0,0,37412,0,45711,92154,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069,0,0,1,1,40,2,0,1,8,40,27,23,18,17,8,1,99,99,99,99,99,1,1,0,0,0,12
7,4,2,392,3759,7194,24547,999999,9999999,999999,9999999,999999,9999999,999999,9999999,3198,0,0,6262,0,6971,0,11314,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960,0,0,1,1,60,0,1,0,2,60,99,99,99,99,99,99,99,99,99,99,99,59,1,1,0,0,24
8,0,2,3275,2086,19878,67824,999999,9999999,999999,9999999,980,89523,999999,9999999,2576,0,0,4125,7840,19694,2029,34136,9999999,9999999,9999999,9999999,9999999,9999999,0,89523,0,9999999,9,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748,0,0,0,1,37,0,0,0,4,37,58,16,99,99,99,99,99,99,99,99,99,8,1,0,0,0,17
9,4,2,540,3278,20718,70690,305,31411,999999,9999999,999999,9999999,999999,9999999,0,548,3754,3003,31999,0,2692,32996,6707,24704,0,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0,0,0,0,2,50,2,1,0,4,50,41,11,99,99,99,99,99,99,99,99,99,8,1,0,0,0,23
10,0,3,4409,1718,7688,26232,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2054,343,0,2112,5495,4483,6841,7301,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0,0,0,0,2,39,2,0,0,1,39,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,23
11,0,5,3277,1511,11415,38948,999999,9999999,999999,9999999,999999,9999999,999999,9999999,2947,492,0,2391,6380,11139,7379,11659,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0,0,0,0,1,25,2,1,1,3,25,30,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,7
12,0,2,5267,1145,12686,43285,1827,187998,999999,9999999,999999,9999999,999999,9999999,2977,497,0,5395,11114,0,0,26776,17895,67997,102106,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0,0,0,1,1,36,1,1,0,5,36,36,65,5,99,99,99,99,99,99,99,99,5,1,1,0,0,17
13,4,5,1306,2130,6438,21966,999999,9999999,999999,9999999,999999,9999999,999999,9999999,0,0,0,1923,9248,3477,2687,4631,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0,0,0,1,1,61,1,0,0,1,61,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,1,3
14,4,2,552,3425,27890,95161,999999,9999999,999999,9999999,999999,9999999,999999,9999999,6933,634,0,11523,30659,10136,2277,40566,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0,0,0,0,1,56,0,1,0,3,56,56,99,99,99,99,99,99,99,99,99,99,24,1,0,0,0,12
