DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT
1,9,1,3,1,1,1989,0,0,250,1739,1739,250,0,0,0,250,0,0,1739,0,1739,250,0,0,0,250,0,0,1739,0
2,9,3,6,3,1,1320,0,660,0,660,660,660,0,0,0,0,0,660,660,0,1320,660,0,0,0,0,0,660,660,0
3,9,1,4,1,1,3075,789,0,400,1886,1886,1189,0,789,0,400,0,0,1886,0,2675,1189,0,789,0,400,0,0,1886,0
4,9,3,1,2,0,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,0,899,0,0,0,0,0,0,0,899
5,9,1,8,3,1,2176,0,444,400,1332,1332,844,0,0,0,400,0,444,1332,0,1776,844,0,0,0,400,0,444,1332,0
6,9,2,5,1,1,1069,0,0,0,1069,1069,0,0,0,0,0,0,0,1069,0,891,1069,0,0,0,0,0,0,0,1069
7,9,2,6,3,0,3360,0,0,400,2960,0,3360,0,0,0,400,0,0,0,2960,0,3360,0,0,0,400,0,0,0,2960
8,9,1,5,4,1,748,0,0,0,748,748,0,0,0,0,0,0,0,748,0,299,748,0,0,0,0,0,0,0,748
9,9,7,9,3,1,5040,0,0,400,4640,4640,400,0,0,0,400,0,0,4640,0,4640,400,0,0,0,400,0,0,4640,0
10,9,4,7,3,0,2549,0,0,0,2549,2549,0,0,0,0,0,0,0,2549,0,2549,0,0,0,0,0,0,0,2549,0
11,9,2,6,1,1,1725,0,0,0,1725,1725,0,0,0,0,0,0,0,1725,0,1725,0,0,0,0,0,0,0,1725,0
12,9,3,6,2,1,4500,0,1350,0,3150,3150,1350,0,0,0,0,0,1350,3150,0,4500,1350,0,0,0,0,0,1350,3150,0
13,9,1,8,1,1,832,0,0,0,832,832,0,0,0,0,0,0,0,832,0,832,0,0,0,0,0,0,0,832,0
14,9,7,5,1,0,2294,0,0,400,1894,1894,400,0,0,0,400,0,0,1894,0,1894,400,0,0,0,400,0,0,1894,0
15,9,4,6,1,0,1740,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740,0,1740,0,0,0,0,0,0,0,1740
16,9,3,9,4,0,1566,0,0,0,1566,1566,0,0,0,0,0,0,0,1566,0,1566,0,0,0,0,0,0,0,1566,0
17,9,7,4,1,1,429,0,0,0,429,429,0,0,0,0,0,0,0,429,0,286,429,0,0,0,0,0,0,0,429
18,9,4,2,1,1,3283,0,0,400,2883,2883,400,0,0,0,400,0,0,2883,0,0,3283,0,0,0,400,0,0,0,2883
