DOEID,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
1,0,0,1,1,55,2,0,0,2,55,99,99,99,99,99,99,99,99,99,99,99,55,1,1,0,0,8
2,0,0,1,1,26,1,1,0,4,26,36,7,99,99,99,99,99,99,99,99,99,1,1,0,1,1,13
3,0,0,1,1,63,1,1,0,2,63,99,99,99,99,99,99,99,99,99,99,99,62,1,1,0,0,10
4,0,0,0,2,43,2,1,1,8,43,34,19,15,13,11,10,99,99,99,99,99,3,1,0,0,1,6
5,0,0,0,1,39,2,1,0,5,39,85,39,9,99,99,99,99,99,99,99,99,3,1,0,0,0,23
6,0,0,1,1,40,2,0,1,8,40,27,23,18,17,8,1,99,99,99,99,99,1,1,0,0,0,12
7,0,0,1,1,60,0,1,0,2,60,99,99,99,99,99,99,99,99,99,99,99,59,1,1,0,0,24
8,0,0,0,1,37,0,0,0,4,37,58,16,99,99,99,99,99,99,99,99,99,8,1,0,0,0,17
9,0,0,0,2,50,2,1,0,4,50,41,11,99,99,99,99,99,99,99,99,99,8,1,0,0,0,23
10,0,0,0,2,39,2,0,0,1,39,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,23
11,0,0,0,1,25,2,1,1,3,25,30,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,7
12,0,0,1,1,36,1,1,0,5,36,36,65,5,99,99,99,99,99,99,99,99,5,1,1,0,0,17
13,0,0,1,1,61,1,0,0,1,61,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,1,3
14,0,0,0,1,56,0,1,0,3,56,56,99,99,99,99,99,99,99,99,99,99,24,1,0,0,0,12
15,0,0,1,2,28,2,1,1,5,28,27,19,15,99,99,99,99,99,99,99,99,11,1,0,0,0,23
16,0,0,1,1,49,2,1,0,2,49,99,99,99,99,99,99,99,99,99,99,99,56,1,0,0,0,18
17,0,0,0,1,59,1,0,0,1,59,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,1,9
18,0,0,0,1,54,2,1,0,2,54,99,99,99,99,99,99,99,99,99,99,99,57,1,0,0,0,24
19,0,0,1,2,82,1,0,0,1,82,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,10
20,0,0,1,1,27,1,1,0,4,27,20,8,99,99,99,99,99,99,99,99,99,5,0,0,1,1,4
21,1,0,1,2,79,1,1,0,2,79,99,99,99,99,99,99,99,99,99,99,99,67,1,1,0,0,24
22,0,0,1,2,48,1,0,1,2,48,99,99,99,99,99,99,99,99,99,99,99,86,0,1,1,1,4
23,0,0,1,2,49,2,1,0,7,49,70,45,16,13,8,99,99,99,99,99,99,6,1,1,0,0,24
24,0,0,1,2,84,1,1,0,2,84,99,99,99,99,99,99,99,99,99,99,99,84,0,1,0,0,18
25,0,0,1,2,37,2,1,0,4,37,37,5,99,99,99,99,99,99,99,99,99,2,1,0,0,0,24
26,0,0,1,2,61,0,0,0,4,61,48,33,99,99,99,99,99,99,99,99,99,4,1,0,0,0,14
27,0,0,0,2,51,2,1,0,2,51,99,99,99,99,99,99,99,99,99,99,99,50,1,0,0,0,18
28,0,0,1,1,68,1,0,0,1,68,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
29,0,0,1,1,25,1,1,0,6,25,28,8,6,2,99,99,99,99,99,99,99,1,1,0,0,0,11
30,0,0,1,1,36,1,1,1,6,36,39,15,13,9,99,99,99,99,99,99,99,4,0,0,0,1,8
31,0,0,1,1,60,1,0,0,1,60,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,8
