codebook:,http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf,,,,,,
,,,,,,,
House.csv,,,,,,,
,VARIABLE,VARIABLE LABEL,,,,,Cleaned Columns:
FK,DOEID,4-digit identification number,,,,,64
Insuff Data,ALTHUQ,Alternative type of housing unit,,,,,
,WALLTYPE,Exterior Wall Construction Material,,,,,
,YEARMADE,Year Home Built,,,,,
,URBRUR,Reported type of neighborhood,,,,,
,UGASHERE,Natural gas from underground pipe available,,,,,
,TOTSQFT,Total square footage,,,,,
,TOTBASESQFT,Total Basement square footage,,,,,
,TOTATTCSQFT,Total Attic square footage,,,,,
,TOTGARGSQFT,Total Garage square footage,,,,,
,TOTRHMSQFT,Total all other areas,,,,,
,TOTHSQFT,Total heated square footage,,,,,
,TOTUSQFT,Total unheated square footage,,,,,
,BASHSQFT,Basement heated square footage,,,,,
,BASUSQFT,Basement unheated square footage,,,,,
,GARHSQFT,Garage heated square footage,,,,,
,GARUSQFT,Garage unheated square footage,,,,,
,ATTHSQFT,Attic heated square footage,,,,,
,ATTUSQFT,Attic unheated square footage,,,,,
,RHMHSQFT,Rest of HU heated square footage,,,,,
,RHMUSQFT,Rest of HU unheated square footage,,,,,
,TOTCSQFT,Total air-conditional square footage,,,,,
,TOTUCSQFT,Total unair-contiditioned square footage,,,,,
,BASCSQFT,Basement air-conditional square footage,,,,,
,BASUCSQFT,Basement unair-contiditioned square footage,,,,,
,GARCSQFT,Garage air-conditional square footage,,,,,
,GARUCSQFT,Garage unair-contiditioned square footage,,,,,
,ATTCSQFT,Attic air-conditional square footage,,,,,
,ATTUCSQFT,Attic unair-contiditioned square footage,,,,,
,RHMCSQFT,Rest of HU air-conditional square footage,,,,,
,RHMUCSQFT,Rest of HU unair-contiditioned square footage,,,,,
,,,,,,,
Household.csv,,,,,,,
,VARIABLE,VARIABLE LABEL,,,,,
FK,DOEID,4-digit identification number,,,,,
,HBUSNESS,Do you operate a home-based business or service,,,,,
,OTHWORK,Any other kind of activity use a lot more energy,,,,,
,ATHOME,Is someone at home all day on a typical weekday,,,,,
,HHSEX,Are you/is the householder a male or a female,,,,,
,HHAGE,How old are you/is the householder,,,,,
,EMPLOYHH,How would you describe employment status,,,,,
,SPOUSE,Household living with a spouse/partner,,,,,
,SDESCENT,Householder Hispanic or Latino,,,,,
,NHSLDMEM,How many people normally live in this household,,,,,
,AGEHHMEM1,Age of the householder,,,,,
Insuff data,AGEHHMEM2,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM3,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM4,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM5,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM6,Age of the next oldest household member,,,,,
Insuff data,AGEHHMEM7,Age of the next oldest household member,,,,,
